date,atm_iv_pct,underlying,dte,n
2025-09-08,75.93166666666666,27.080000000000002,11,6
2025-09-09,73.26333333333334,27.18,10,6
2025-09-10,78.96450000000002,28.6,9,6
2025-09-11,72.24125,29.17,8,8
2025-09-12,69.51125,29.3,7,8
2025-09-15,88.52166666666666,30.0,11,6
2025-09-16,82.89833333333333,30.48,10,6
2025-09-17,79.12500000000001,30.470000000000002,9,6
2025-09-18,78.92750000000001,33.64,8,4
2025-09-19,72.3275,33.02,7,4
2025-09-22,94.70750000000001,34.43,11,4
2025-09-23,85.9175,34.300000000000004,10,4
2025-09-24,77.8,34.2,9,4
2025-09-25,80.1125,33.85,8,4
2025-09-26,72.14333333333333,34.02,7,6
2025-09-29,79.235,34.02,11,6
2025-09-30,82.4725,34.84,10,4
2025-10-01,85.06250000000001,36.86,9,4
2025-10-02,86.84166666666667,39.080000000000005,8,6
2025-10-03,82.20500000000001,38.230000000000004,7,4
2025-10-06,102.18750000000001,41.71,11,4
2025-10-07,102.1425,38.830000000000005,10,4
2025-10-08,102.63166666666666,42.78,9,6
2025-10-09,99.36833333333335,42.24,8,6
2025-10-10,123.47250000000001,34.21,7,4
2025-10-13,110.65,39.14,11,6
2025-10-14,120.045,36.63,10,4
2025-10-15,117.46500000000002,39.980000000000004,9,6
2025-10-16,118.71250000000002,40.57,8,4
2025-10-17,107.8375,40.29,7,4
2025-10-20,113.75333333333334,42.24,11,6
2025-10-21,106.42750000000001,41.510000000000005,10,4
2025-10-22,114.94500000000001,38.39,9,4
2025-10-23,108.72833333333334,41.17,8,6
2025-10-24,105.11500000000001,43.14,7,6
2025-10-27,111.90500000000002,46.84,11,6
2025-10-28,106.295,46.96,10,6
2025-10-29,109.04666666666667,49.38,9,6
2025-10-30,109.92333333333335,47.39,8,6
2025-10-31,98.90166666666667,47.78,7,6
2025-11-03,102.09666666666668,48.580000000000005,11,6
2025-11-04,111.14166666666667,42.800000000000004,10,6
2025-11-05,95.77666666666667,46.830000000000005,9,6
2025-11-06,110.85166666666669,43.010000000000005,8,6
2025-11-07,113.52166666666668,41.74,7,6
2025-11-10,109.19666666666667,44.96,11,6
2025-11-11,111.37833333333333,41.81,10,6
2025-11-12,107.42666666666668,43.71,9,6
2025-11-13,120.405,39.22,8,4
2025-11-14,113.52833333333334,38.86,7,6
2025-11-17,118.9525,36.84,11,8
2025-11-18,127.86374999999998,34.35,10,8
2025-11-19,122.97000000000003,35.96,9,10
2025-11-20,154.80125,30.810000000000002,8,8
2025-11-21,124.45500000000003,31.73,7,8
2025-11-24,107.035,35.86,11,8
2025-11-25,98.35625000000002,36.17,10,8
2025-11-26,87.57000000000001,39.190000000000005,9,8
2025-11-28,81.54750000000001,41.260000000000005,7,8
2025-12-01,96.92833333333333,41.31,11,6
2025-12-02,97.87749999999998,43.800000000000004,10,12
2025-12-03,100.43000000000002,46.580000000000005,9,10
2025-12-04,95.52416666666664,45.160000000000004,8,12
2025-12-05,88.94200000000001,46.5,7,10
2025-12-08,103.225,47.99,11,10
2025-12-09,102.14833333333333,47.79,10,12
2025-12-10,95.9575,49.650000000000006,9,12
2025-12-11,93.26166666666667,48.79,8,12
2025-12-12,97.21375,41.71,7,8
2025-12-15,88.19624999999999,41.18,11,8
2025-12-16,84.33833333333335,40.49,10,6
2025-12-17,96.88,36.010000000000005,9,6
2025-12-18,81.93400000000001,38.580000000000005,8,10
2025-12-19,70.782,41.72,7,10
2025-12-22,71.19333333333336,43.260000000000005,11,12
2025-12-23,62.593333333333334,43.7,10,12
2025-12-24,62.65166666666667,44.21,9,12
2025-12-26,55.17833333333334,44.21,7,12
2025-12-29,74.107,43.82,11,10
2025-12-30,73.929,43.67,10,10
2025-12-31,73.997,42.03,9,10
2026-01-02,76.78166666666667,47.24,7,12
2026-01-05,95.20200000000001,49.22,11,10
2026-01-06,95.83375000000002,54.010000000000005,10,8
2026-01-07,91.81750000000002,52.29,9,12
2026-01-08,88.116,49.650000000000006,8,10
2026-01-09,84.87214285714288,53.95,7,14
2026-01-12,82.85166666666667,54.650000000000006,11,12
2026-01-13,85.8257142857143,56.07,10,14
2026-01-14,84.79642857142856,55.38,9,14
2026-01-15,86.4192857142857,58.080000000000005,8,14
2026-01-16,77.0225,60.75,7,16
2026-01-20,115.06250000000003,57.940000000000005,10,8
2026-01-21,100.3525,63.480000000000004,9,8
2026-01-22,99.97125000000003,63.720000000000006,8,8
2026-01-23,100.72375,61.6,7,8
2026-01-26,101.199375,60.7,11,16
2026-01-27,105.60000000000001,64.96000000000001,10,10
2026-01-28,108.232,70.09,9,10
2026-01-29,107.38875000000002,70.47,8,8
2026-01-30,109.7625,61.790000000000006,7,16
2026-02-02,111.89416666666665,65.2,11,12
2026-02-03,128.195,61.2,10,16
2026-02-04,148.11333333333334,53.190000000000005,9,6
2026-02-05,145.95,53.25,8,6
2026-02-06,111.80500000000002,61.75,7,16
2026-02-09,108.55750000000002,64.03,11,12
2026-02-10,108.4875,63.34,10,16
2026-02-11,105.355,68.05,9,8
2026-02-12,125.22142857142859,63.1,8,14
2026-02-13,112.15250000000003,64.59,7,12
2026-02-17,128.3521428571429,64.35000000000001,10,14
2026-02-18,122.23700000000002,66.29,9,10
2026-02-19,119.7275,65.23,8,12
2026-02-20,106.41125000000002,67.11,7,8
2026-02-23,126.62642857142856,65.86,11,14
2026-02-24,127.198,68.53,10,10
2026-02-25,123.35500000000002,71.86,9,10
2026-02-26,109.76625000000001,65.34,8,16
2026-02-27,110.14749999999998,62.77,7,16
2026-03-02,134.65687500000004,62.760000000000005,11,16
2026-03-03,143.9691666666667,53.42,10,12
2026-03-04,138.72,56.620000000000005,9,8
2026-03-05,136.85375000000002,54.800000000000004,8,8
2026-03-06,179.8475,47.89,7,12
2026-03-09,140.94400000000002,53.32,11,10
2026-03-10,147.491,54.59,10,10
2026-03-11,136.11,56.09,9,6
2026-03-12,149.655,50.28,8,10
2026-03-13,139.356,50.720000000000006,7,10
2026-03-16,127.6741666666667,53.690000000000005,11,12
2026-03-17,114.10142857142857,54.95,10,14
2026-03-18,130.21928571428572,54.02,9,14
2026-03-19,118.51416666666665,54.85,8,12
2026-03-20,125.77666666666667,51.14,7,12
2026-03-23,127.69964285714288,53.03,10,14
2026-03-24,123.07928571428573,54.96,9,14
2026-03-25,122.14900000000002,57.040000000000006,8,10
2026-03-26,134.71,48.97,7,10
2026-03-27,125.97833333333335,46.61,6,12
2026-03-30,134.542,40.620000000000005,11,10
2026-03-31,119.78083333333333,47.910000000000004,10,12
2026-04-01,122.8275,52.260000000000005,9,12
2026-04-02,113.49499999999999,52.75,8,12
2026-04-06,124.32333333333334,54.81,11,12
2026-04-07,139.18333333333337,56.550000000000004,10,12
2026-04-08,116.475,67.5,9,8
2026-04-09,107.62937500000001,71.98,8,16
2026-04-10,108.3075,76.39,7,8
2026-04-13,117.75250000000001,80.56,11,8
2026-04-14,117.26800000000001,85.31,10,10
2026-04-15,118.76900000000002,85.96000000000001,9,10
2026-04-16,113.32083333333334,88.37,8,12
2026-04-17,103.20166666666665,94.68,7,12
2026-04-20,117.67500000000001,95.94,11,10
2026-04-21,131.75750000000005,98.09,10,12
2026-04-22,134.07916666666668,105.64,9,12
2026-04-23,132.6192857142857,112.77000000000001,8,14
2026-04-24,132.108125,128.32,7,16
2026-04-27,139.234375,123.39,11,16
2026-04-28,140.2216666666667,109.56,10,12
2026-04-29,142.87071428571429,117.97,9,14
2026-04-30,119.11857142857143,126.98,8,14
2026-05-01,111.84750000000001,130.4,7,16
2026-05-04,127.37250000000002,127.55000000000001,11,4
2026-05-05,131.26000000000002,144.16,10,18
2026-05-06,134.179,165.85,9,20
2026-05-07,131.48444444444442,152.1,8,18
2026-05-08,133.1140909090909,176.94,7,22
2026-05-11,160.34,190.42000000000002,11,24
2026-05-12,161.6975,172.52,10,24
2026-05-13,162.53863636363639,184.24,9,22
2026-05-14,160.36636363636367,186.19,8,22
2026-05-15,165.88458333333332,164.18,7,24
2026-05-18,154.27149999999997,151.75,11,20
2026-05-19,147.6955,151.89000000000001,10,20
2026-05-20,145.43772727272724,173.20000000000002,9,22
2026-05-21,124.32850000000002,178.39000000000001,8,20
2026-05-22,129.83291666666668,190.56,7,24
2026-05-26,163.71833333333333,225.79000000000002,10,6
2026-05-27,158.65800000000002,217.98000000000002,9,10
2026-05-28,154.4,224.63000000000002,8,10
2026-05-29,159.81300000000002,224.34,7,10
2026-06-01,164.37500000000003,227.03,11,10
2026-06-02,176.66833333333335,266.32,10,12
2026-06-03,174.34071428571428,280.54,9,14
2026-06-04,164.855,262.7,8,14
2026-06-05,192.00318181818182,182.54000000000002,7,22
2026-06-08,184.13899999999998,211.44,10,10
2026-06-09,198.038125,201.68,9,16
2026-06-10,219.8563636363636,180.65,8,22
2026-06-11,212.6825,223.99,7,12
2026-06-12,181.676,234.68,6,10
2026-06-15,176.68071428571432,272.5,11,14
2026-06-16,182.3,226.19,10,12
2026-06-17,191.59416666666667,233.86,9,12
2026-06-18,177.84428571428575,279.29,8,14
2026-06-22,191.45214285714292,300.77000000000004,10,14
2026-06-23,216.95000000000002,231.42000000000002,9,12
2026-06-24,220.892,229.57000000000002,8,10
2026-06-25,193.40500000000003,252.61,7,12
2026-06-26,191.84400000000005,215.60000000000002,6,10
2026-06-29,174.35250000000002,236.52,11,12
2026-06-30,166.66958333333335,266.71000000000004,10,12
2026-07-01,175.998,217.55,9,10
2026-07-02,181.5066666666667,181.47,8,24
